,2mem_BtCv_12pt5hr-1,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-1,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-1,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-1,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-1,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-1,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-1,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-1,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-1,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-1,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-1,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-1,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-1,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-1,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-1,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-1,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-1,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-1,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-1,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-1,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-1,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-1,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
8.607392298/101.0246316,41.88683,40.79753,44.18229,41.01373,36.17789,35.74735,40.14714,38.29826,30.58935,40.83225,35.1849,39.96456,29.20816,36.51191,37.61914,29.59306,29.73711,38.43454,41.79115,35.43584,20.17429,37.88813,36.13938,26.88578,44.40602,44.47351,40.80096,33.94329,38.34514,41.0444,38.68916,35.99476,28.5457,37.00466,35.54129,32.95707,27.25237,35.8615,33.61906,27.61911,30.81071,21.73435,33.39225,36.2156,29.52017,35.72177,30.76999,24.81118,34.30734,52.24773,46.4541,36.5382,32.112,43.55773,39.42974,29.95016,20.69186,40.86413,36.36347,29.2826,19.97155,38.14595,35.76491,29.85336,10.17369,34.10647,32.90808,29.28188,17.20095,26.7227,24.88931,18.86457,42.10314,45.36263,38.93651,36.9511,34.4517,40.79768,35.44661,31.73713,33.6615,35.69931,33.01505,43.95833,37.09834,36.33218,34.89492,36.78185,30.40395,16.87875,37.69886,29.75238,37.21835,31.73488,38.23707,33.21648
8.031978553/128.8925009,37.32273,39.40081,33.68911,33.79197,20.24686,31.9485,37.33464,23.99777,21.67589,33.56208,29.48857,32.03009,30.93518,32.54287,43.18221,23.09514,21.41117,29.09006,40.91303,29.9581,32.01919,31.07526,48.05439,23.31956,39.39964,32.40429,44.44466,30.88243,33.11003,28.55315,35.27161,24.77886,29.1031,37.58344,38.99436,28.98497,24.30122,28.15835,43.45004,32.08269,15.69353,38.61836,31.01298,31.84687,31.72573,46.11785,30.84675,28.00806,26.29648,34.74441,28.18797,33.54648,26.7681,39.04962,40.3001,25.70617,30.17487,31.55252,28.67666,26.30579,37.19425,29.275,35.90393,31.99149,26.42762,29.85044,29.85677,24.18511,20.84717,30.50253,44.69591,29.5333,40.27539,29.11731,31.21917,23.13363,30.45389,29.04945,40.90235,16.88451,35.45286,34.19162,43.36609,27.69878,31.22266,30.50529,32.82972,26.43676,28.66551,32.28848,33.96479,29.79261,40.89145,30.42514,40.47412,31.29073
11.3548561/378.0996535,26.2371,31.95356,42.74458,39.24823,27.07307,27.2894,40.70965,30.29074,15.24445,43.7794,32.03017,35.05429,21.25175,36.04262,37.66351,30.30521,27.83684,40.40892,39.04655,23.99876,20.03188,35.57985,39.33153,20.56305,22.41169,36.87324,41.25542,29.84546,20.73614,27.38852,37.65797,36.63681,24.37075,37.24137,41.3769,23.53781,17.11382,33.87452,36.9125,11.16464,24.24013,27.24024,34.85336,37.30656,20.39698,32.14873,34.187,27.66948,18.63363,46.4146,47.60568,26.19599,33.06497,39.85137,31.25246,29.63895,28.96889,39.39541,40.6887,29.46082,21.3098,42.81837,40.2802,33.62452,18.82315,40.56754,27.58506,42.43382,29.47551,40.35582,31.97365,29.57259,29.06666,38.17369,36.43882,22.36556,21.89191,31.03842,33.23383,27.48352,26.37419,35.23797,37.95583,43.56546,20.56678,28.86287,39.26655,35.52006,29.72338,25.27399,40.07959,27.6407,25.77807,34.72519,27.93658,24.50184
8.626301757/161.0459118,43.413484,41.152408,44.867388,41.780849,34.479857,35.894615,42.407493,40.447619,30.814633,40.134871,36.376287,41.790946,28.817946,38.438282,40.766232,31.249356,33.377461,38.6444,45.165474,35.507431,19.61519,37.66039,39.362931,26.565526,45.168107,45.487641,43.899891,35.005972,37.285858,42.391073,43.457676,38.592466,31.337062,35.591165,36.981553,33.69041,29.42785,36.061018,36.83156,29.481148,33.632898,21.89379,37.280915,38.385354,29.491055,35.986244,32.794607,26.64607,34.690233,50.371717,46.606858,39.322344,31.88727,42.739151,40.779112,31.693434,22.039372,40.786928,40.200649,30.421819,21.198379,37.179492,39.220127,32.558663,9.656665,34.436102,35.038114,30.302806,19.095094,27.924337,25.667859,19.731056,43.782988,42.855885,42.961369,39.534918,35.732641,44.06784,33.870793,33.641238,33.135306,37.336509,42.834255,43.623125,37.307903,36.55671,39.690641,39.550684,31.46692,18.025006,43.238019,30.682628,37.672525,32.626813,38.769067,35.102959
8.5913304/119.0352073,38.747583,38.567884,41.477546,41.307558,34.371568,32.949656,36.534358,39.306124,28.927751,36.537332,32.592494,41.636517,26.315413,33.085518,34.000404,31.886793,36.516158,37.057885,36.954644,33.969855,18.877498,33.638391,33.893583,25.921968,41.321114,40.523786,37.568675,33.7136,33.332863,38.622749,35.822076,37.044192,31.404618,32.485126,32.67706,33.194266,28.755895,32.978046,31.590181,30.070011,32.868121,19.921472,31.895677,37.642178,28.224585,32.831759,28.821461,32.064211,32.109306,46.54956,42.052117,38.269783,29.888747,39.988329,35.093832,32.75398,20.666543,36.826512,33.099915,30.556642,19.777277,35.671562,34.643403,32.125453,8.930018,30.54176,30.275534,29.394892,23.665093,23.6311,23.036036,21.955172,38.358719,41.954463,36.670384,36.738068,33.94824,36.538706,33.328466,34.412933,31.53325,31.567319,35.385422,42.608988,33.731288,31.506558,33.71982,36.373717,31.268665,15.857645,35.504414,30.853792,35.644726,28.029545,33.926397,34.863754
11.40742152/340.1256326,32.616793,27.284455,43.068933,36.795388,30.73581,30.578452,46.420279,46.084876,26.545482,45.334929,30.846403,37.104471,31.74316,31.429478,43.311638,39.726718,30.627784,41.158198,38.196585,46.348731,22.826494,28.413116,40.657515,35.56914,35.981288,33.295909,46.097005,36.895308,29.504111,26.155108,44.51913,36.661588,26.996151,35.750883,45.71784,35.213074,23.743692,31.41163,43.270186,31.361576,27.931116,23.373761,37.144328,35.099062,25.50204,27.116359,37.142873,31.866198,25.40535,51.249844,53.555353,37.984102,46.97371,37.905227,46.010495,38.515923,40.301861,39.316714,51.078778,39.843646,37.684406,50.396258,46.291233,50.582788,16.25365,39.554895,24.350149,42.711705,31.753905,37.362569,27.571633,36.978949,31.372347,36.660003,42.360983,38.361029,31.833444,24.365951,40.141617,40.41634,29.427055,31.986607,47.609719,43.942144,36.274663,29.05332,50.13033,32.959916,36.968869,17.07739,45.923061,35.761946,50.315483,30.789455,38.627998,43.288909
12.55708/352.9459237,10.522335,30.18794,29.653181,36.45117,20.529297,25.010592,20.467792,15.68603,13.203205,15.987648,25.835943,36.113124,16.531305,19.583083,19.085604,26.687609,14.546682,15.945176,25.543497,17.433165,7.923331,27.934768,24.258755,8.537437,7.095618,32.500273,26.891836,19.095594,17.334785,32.960776,29.078686,22.787625,23.598021,27.469894,26.169962,17.712624,21.033243,33.072156,34.285916,16.524042,14.142992,24.093312,18.800879,37.244241,13.747376,34.044668,34.942535,20.103237,11.31429,31.299798,39.053313,20.746251,18.832579,33.01963,38.151382,26.152387,13.598378,30.957505,31.515903,12.004016,13.161954,29.802776,36.481727,23.358218,15.83224,33.339692,33.616853,38.578522,25.05759,30.822058,15.033438,25.096746,14.88868,34.16203,26.389781,16.72285,16.076924,13.986045,24.111099,25.985864,14.652426,32.148818,28.293381,34.941956,14.270776,23.826866,27.687393,22.451583,18.427701,32.054132,24.354805,26.45487,12.990779,26.844925,28.655701,17.80935
8.609674845/143.0352571,39.17076,34.362109,39.526327,37.37598,29.54139,29.94144,34.252517,35.972056,27.34146,34.577223,30.659425,38.0813,24.977867,30.964162,32.383717,28.997816,28.925143,33.256422,34.877783,29.802774,18.157061,32.857326,31.406612,25.048867,38.983705,37.329858,34.931595,29.567937,33.394106,35.652993,33.826925,33.566768,26.492012,31.109953,31.430889,29.27015,24.924864,30.466549,29.824522,25.102268,29.161101,18.979249,29.092584,33.082226,26.81242,29.848097,26.452062,22.647845,30.221804,43.161826,38.683227,33.941562,27.532468,37.420309,33.616475,28.46139,18.858343,34.668343,31.487564,26.130592,18.238253,32.428504,30.899819,27.328915,9.233881,28.018785,28.427374,27.525497,15.714505,22.667671,22.736361,17.228371,34.251979,38.07232,33.376509,32.985497,31.479604,35.984914,31.01543,29.58032,29.512261,30.226751,33.260581,41.55166,32.327333,29.984103,30.924338,34.261174,28.12008,14.694728,33.436598,26.763649,33.262596,26.365135,32.486705,30.251961
8.595409201/239.0777287,38.050908,33.106454,41.155102,45.616691,41.287459,26.542713,31.665184,39.31597,29.955362,31.150609,30.362755,44.529506,25.739333,23.766614,31.508274,39.372221,39.826123,30.088886,34.827378,32.417232,18.279783,28.253993,30.940966,26.505624,39.68088,35.333657,34.902422,38.905364,34.109167,35.006184,34.23277,38.765512,35.898436,27.654307,28.166085,32.243028,32.327445,30.424102,29.08707,35.037519,39.270419,16.558146,30.053097,40.686034,27.415961,28.368418,25.991399,31.438186,31.841566,39.843987,38.438399,47.220121,27.891484,36.188586,31.298214,37.957889,19.647898,31.610537,31.684038,33.89206,17.666457,30.155014,30.76886,37.696361,8.946265,26.726748,27.145806,31.066567,20.473236,19.672499,19.991166,22.886413,35.178203,36.676893,33.113738,39.5701,32.686773,32.383773,30.038335,41.731724,30.267599,26.75728,31.772073,46.582953,32.252611,26.617689,29.908057,39.20617,35.217433,13.740864,32.735425,35.992537,34.409918,22.647316,30.205787,40.890579
8.748487771/370.1582121,11.87035,29.575684,20.636243,19.090862,17.266486,18.821002,26.525159,19.876662,10.65453,20.771515,20.556818,16.077816,8.160873,20.187348,26.346471,18.045682,15.654813,28.612083,24.720281,13.11301,5.241385,16.105033,22.259195,7.477489,10.31758,30.258623,27.158327,13.528162,10.371093,28.366701,27.201156,19.715693,14.811931,15.867439,16.518134,15.324306,13.85605,24.841106,22.233818,14.651222,15.54074,8.716602,17.295326,14.786234,9.486112,24.137028,20.222681,10.019262,10.493523,26.41478,21.138245,19.907431,9.248728,26.625705,17.824444,14.823582,5.672417,26.04043,19.430496,13.809833,5.934107,23.734138,19.798861,13.82825,3.303732,16.45356,19.04275,12.548569,7.124389,11.402162,10.296977,7.064584,12.459167,27.621238,22.933581,19.522854,11.059469,24.119714,28.586836,21.454209,10.558126,16.17768,27.404107,18.715447,11.325344,23.431132,26.615535,18.866403,10.954235,11.007182,24.833255,15.374912,9.732382,14.369367,16.502512,16.566474
12.58729793/156.991127,44.29125,61.36484,67.03603,75.86484,54.04084,63.86224,59.31274,51.85683,39.66614,61.98741,57.44698,78.24941,46.1863,61.29324,69.58767,67.14282,58.45851,48.73469,61.5971,59.9015,43.81253,58.99812,63.26239,48.32653,45.12609,65.10492,61.01691,64.53132,49.78549,64.82188,65.49236,63.66433,60.41221,64.64763,71.89325,57.39072,59.82887,64.61071,74.45141,65.60255,58.68988,69.75497,60.01899,77.61088,43.25941,67.03847,75.3547,68.509,42.51401,64.05629,74.36675,70.68301,48.92277,66.58456,72.35261,64.67841,35.52492,62.28637,64.1882,60.81254,44.69024,60.42379,73.40479,61.36079,49.48572,66.26919,67.45571,84.45224,66.15911,62.48143,57.28339,63.263,52.3529,73.46379,59.82311,52.82731,45.26242,74.651,61.49268,63.85333,48.95475,72.20247,63.47462,74.62314,48.54597,73.81472,61.79556,67.59274,54.35481,78.22359,64.02375,65.31508,49.05041,72.92215,65.72679,67.76137
8.610030575/71.01352783,31.075956,32.145263,33.771699,30.598376,23.874617,27.760773,30.89425,28.152327,23.212281,32.14136,26.844235,31.287661,20.312719,28.504998,28.397086,21.058891,22.752043,31.732129,30.651964,24.930505,14.094703,29.21334,27.040976,19.956597,33.155667,34.73138,31.039157,23.537342,28.00946,32.493071,29.266121,27.595658,21.233432,28.946689,26.815613,23.787258,19.300181,27.99362,25.543747,19.809144,22.854691,16.48342,24.714454,27.479875,21.821298,27.387677,22.670365,17.517236,24.845338,40.71473,34.94568,26.633278,22.801903,34.788384,29.330569,21.748962,14.667534,32.320436,26.797981,20.668786,14.022027,30.295707,27.336641,20.958006,7.071464,25.437565,24.338883,22.160612,11.917946,19.722006,18.725993,13.234172,28.332025,34.557441,29.972503,28.294005,25.989093,31.621434,27.531881,23.230459,24.197258,27.76672,28.983586,32.386089,26.234421,28.068313,26.691766,28.569148,22.574834,12.375546,28.408643,20.569716,27.471842,24.280911,28.277722,23.531324
