,2mem_BtCv_12pt5hr-1,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-1,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-1,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-1,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-1,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-1,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-1,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-1,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-1,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-1,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
3.07353152/271.1147383,11.981493,11.245817,11.566746,11.031072,9.607498,9.78358,11.337266,10.549232,8.980228,10.228016,11.435671,10.894755,8.468155,9.52529,11.836148,10.620512,10.199548,11.516722,10.750632,10.161062,11.571312,10.283049,11.585761,11.097674,10.90017,10.071142,10.147489,10.944008,11.2835,10.12378,10.266408,11.167079,10.294028,10.11613,10.112276,11.131483,10.570726,11.006509,11.041355,10.404565,9.674949,6.83574,10.012891,9.92938,9.480109,9.458309,8.982832,8.961602,9.03456,7.507867,8.909703,9.468592,8.875341,7.857427,8.945259,12.391085,8.860039,8.670653,9.112568,8.679715,8.6742,8.598151,8.912956,9.195897,11.878661,9.747773,10.590497,9.562811,8.682191,9.427935,10.788795,10.661751,9.715323,9.888204,10.531118,8.811521,10.918395,9.88074,9.644793,9.322128,9.826225,9.175965,10.023787,9.570757
4.455521467/397.1466398,9.22158,8.830169,8.891418,8.439722,4.845246,4.405814,5.366585,5.9367,4.017013,4.04772,4.832847,5.584709,3.46063,3.378331,4.636224,4.785979,3.319827,3.935518,4.36456,3.001632,3.588004,3.86143,9.044284,8.175416,8.07033,4.481446,4.509209,5.508498,6.512461,4.261768,4.154579,5.080214,5.436963,4.058021,3.707912,4.598091,5.146631,3.509062,4.343831,4.716354,3.118236,2.644947,4.009545,10.599674,9.495169,9.109193,6.988195,6.848039,8.082738,4.899695,6.575036,6.808056,7.393537,4.789526,5.773761,5.119141,6.966688,5.302208,5.383939,6.120125,4.383646,4.910978,4.805636,5.691038,8.758777,7.737421,8.095024,7.772546,4.063359,4.213517,5.824601,6.130884,3.831682,4.779157,5.396891,3.657111,4.772936,4.595239,3.067341,3.632525,4.168908,2.879743,3.62738,3.617922
0.352743311/235.0782293,8.922307,6.723633,8.465189,6.547081,6.753764,7.131168,7.864855,6.566587,5.888803,7.876496,7.501055,5.991943,7.084007,5.750902,7.662297,5.883583,6.744033,6.578621,5.620699,6.160949,6.371731,5.44696,7.794744,8.248004,7.160619,9.627219,7.065528,7.85154,5.786236,10.127537,6.093702,7.728323,5.200042,11.224815,5.373909,6.782739,5.198319,4.793403,6.367577,4.210085,6.222585,4.006502,4.369379,10.261936,9.083062,8.128252,7.283123,7.180088,6.654177,5.625011,7.9174,7.016263,6.53008,4.517963,7.963096,5.659582,6.791455,6.674421,6.200191,5.727763,6.275439,5.247431,4.760177,5.446094,8.08203,6.820194,6.689164,6.496144,6.762251,7.000883,6.614901,6.798169,5.758458,5.846999,6.26545,6.36447,6.949204,5.412518,2.298688,4.761121,5.513966,6.505353,5.930415,5.476214
4.455463948/392.1912207,5.522461,7.195426,7.016556,6.172439,3.861059,3.460763,4.287289,4.608464,3.002532,3.340258,3.838813,4.378094,2.098704,2.720403,3.800211,3.672621,2.814313,3.244739,3.578669,2.600688,2.983404,3.117959,7.513517,6.039102,5.740113,2.592698,3.410601,4.13024,5.072785,2.458287,3.168157,4.082578,4.089349,2.333637,2.718181,3.504455,3.759153,2.625334,2.992326,3.421874,2.72339,1.752574,3.117631,8.768894,7.149837,7.328818,5.625153,5.177208,6.323827,3.416879,5.348751,5.210514,5.767301,3.097605,4.978443,4.12837,5.652581,4.311225,4.059454,5.009864,2.429173,4.012044,3.684935,4.951578,5.71236,5.469296,5.851129,5.709911,2.74876,3.412052,3.954668,4.610224,2.773313,3.596551,4.180081,2.904951,3.28868,3.421017,2.194158,2.440524,3.236935,2.454562,2.825489,2.619983
0.332262093/383.1146341,9.763567,7.17234,8.543496,8.933853,9.14796,7.484184,8.526349,8.524265,7.891069,8.12291,8.087105,8.905998,8.835289,6.260273,8.218776,8.188984,7.497053,7.818786,7.988874,6.931132,7.169744,7.588243,8.359209,8.734045,9.044015,10.665418,7.272954,8.75723,8.623192,12.142646,7.200692,6.707956,7.614655,14.574597,6.164641,8.132825,7.506646,6.043875,7.625826,6.699813,7.267779,5.321649,6.683212,9.552539,9.25592,9.94859,7.943234,7.771188,8.638334,7.56558,8.086957,7.270417,8.273966,5.818988,7.811004,6.828715,8.54583,6.712926,6.492944,7.962432,10.042307,5.525609,3.521254,6.638897,9.573131,6.7101,7.212605,8.643876,8.613841,7.305348,7.156,9.110554,6.74053,6.788576,9.053467,6.789153,8.746043,8.344763,2.921257,6.21684,7.732168,7.001742,6.802064,8.004548
4.204149547/320.1700643,5.7999,7.018794,6.641694,6.582755,4.446509,4.076106,5.026175,5.29673,3.57966,4.091807,4.673009,5.14872,2.596525,3.390489,4.826355,4.543062,3.607557,4.245376,4.498419,3.363289,4.104609,4.045093,7.118768,5.682946,5.88172,3.090983,3.763473,4.398981,5.518577,3.017604,3.508224,4.568565,4.421258,2.759201,3.027886,3.802294,4.153105,3.028859,3.345549,3.849773,3.033178,1.965034,3.476971,8.326031,6.3016,6.837981,5.774499,5.123706,6.136594,3.68761,5.551615,5.314211,6.02212,3.365083,5.3848,4.415367,5.916493,4.848189,4.482472,5.38686,2.843481,4.582656,4.210648,5.655275,6.182118,5.168629,5.731598,5.886603,3.192918,3.83104,4.62013,5.150435,3.319062,4.15524,4.881083,3.508551,4.018961,4.166511,2.762976,3.18864,3.962093,3.065374,3.6582,3.449227
2.533526598/289.1252487,8.405109,8.0178,8.381455,7.749397,7.55417,8.04842,8.666817,8.021752,7.239948,8.673295,9.093378,8.389192,7.228347,8.411852,9.452448,8.674822,9.175179,9.755518,9.022173,9.159112,10.090324,8.901739,8.195516,8.039894,7.747838,7.847336,7.973553,8.286584,8.084457,7.99576,8.549235,8.533088,7.768865,7.976165,8.248801,9.009107,8.453779,9.826688,9.350425,8.540373,8.88145,6.30163,8.761653,7.714776,7.707995,7.880613,7.485395,7.513226,7.646048,6.900523,7.711771,8.221842,7.589358,7.082644,7.999861,11.413843,8.155637,7.982269,8.606715,8.04014,7.776177,7.860896,8.800763,8.547092,7.977549,5.782334,7.990045,6.839375,6.76364,7.556997,8.031693,7.990226,7.987211,8.040016,8.048441,7.23831,9.113093,8.052146,8.065928,7.866593,8.579251,8.497693,9.058842,8.605759
0.34462972/382.0910612,7.267398,6.001049,8.819508,6.310806,7.110324,7.21743,9.029549,6.305381,6.927638,8.637654,9.169063,7.108594,6.72378,6.335417,10.279782,6.286469,8.011029,9.364268,6.406413,7.46445,9.569471,6.476776,7.644493,8.514622,6.950287,7.667907,7.625538,9.005352,6.78985,8.006547,7.751747,9.084714,5.584604,8.729405,5.386555,9.379599,5.957615,5.52909,8.547256,4.839851,7.296451,4.685742,5.15184,9.977105,9.495994,8.023743,7.487033,8.58001,6.753475,5.838099,7.588069,8.531203,6.857681,3.714758,8.097499,8.074153,7.417552,5.913348,9.489737,6.384781,3.562903,6.199896,7.643636,6.910695,7.657924,5.139069,8.200244,5.4888,7.530015,5.260483,9.09003,7.305176,6.368705,7.867425,6.994161,6.40642,10.159749,6.018456,2.285937,6.58625,5.745453,6.980655,8.109707,6.01964
3.112154062/327.1409568,6.195116,6.965417,8.245724,6.619153,5.940259,5.433553,5.260672,6.2621,4.760863,5.63961,5.350103,6.094598,4.885571,5.324503,5.802282,6.211391,5.270141,5.176612,6.802415,5.367583,5.326819,5.891246,8.485871,6.630142,6.007157,7.282517,10.339067,6.268536,6.602935,5.785789,10.394229,7.047889,5.769789,4.903302,9.156815,5.741529,6.262127,8.96932,6.424363,6.295965,9.542265,3.933694,5.931571,7.405858,6.910221,6.133343,5.939739,5.25724,5.689499,5.409568,5.531035,5.877215,6.327128,4.830936,6.154556,6.107744,6.70383,5.554672,5.486612,5.739117,4.310211,5.676109,5.067608,5.545525,7.063687,6.784458,6.863969,5.806069,5.319024,5.546775,7.830048,5.739317,4.971946,7.463616,5.568069,4.480714,6.288218,5.418717,5.549868,5.339388,5.310888,5.029692,5.992245,5.283607
0.334051084/145.0491813,6.523022,6.172496,9.957132,6.168141,8.70967,6.623731,9.255257,5.699379,7.52067,7.631634,8.531128,6.748146,6.024292,5.385285,9.627739,6.035713,6.830245,8.522331,6.253849,6.895857,8.576404,6.023623,8.239116,8.333565,6.590362,6.254908,7.326509,7.857549,5.925227,6.339283,6.661435,9.423149,4.191186,7.591564,5.210003,6.42562,4.999212,4.58362,6.113281,4.324608,6.507887,3.277054,4.542542,10.307839,10.166004,7.269296,8.250722,7.464191,6.041182,5.280889,7.25402,8.365228,6.157696,4.629906,8.208982,7.414473,7.504106,6.335315,7.038078,6.959516,5.398394,5.121408,5.449574,6.028961,6.515169,5.588591,5.701903,5.065708,7.284464,5.988944,6.171759,6.435516,5.180819,5.524125,6.026102,5.543931,6.470108,5.075984,2.577308,4.183149,5.081129,6.301892,6.510679,4.648541
5.673323021/279.0989911,8.909808,4.695603,3.798334,6.610086,10.091225,5.559777,5.045407,6.813873,10.087415,7.638409,5.564366,7.865579,9.938412,5.839857,5.137228,7.45903,6.008558,5.980792,7.774088,6.290456,6.185623,7.869356,5.197386,1.658235,7.003255,10.265484,7.377866,4.242762,6.983087,10.457972,6.360468,4.888517,6.684454,10.09412,6.441824,5.086774,7.027566,6.617128,5.056884,7.37236,6.625635,6.23297,5.674519,8.541997,1.489022,7.616199,9.340227,4.767864,5.670756,9.496861,9.42557,4.873384,7.204376,10.747464,9.910092,2.989644,7.429209,9.094414,5.705013,5.103233,10.28863,9.725353,5.217351,8.237452,10.784373,4.262252,6.774912,6.15074,11.043861,5.834428,9.106594,7.120805,5.691846,7.444018,7.258864,6.558593,9.142125,7.589034,6.059369,7.681517,7.280637,6.695515,9.196866,7.103633
2.554985028/279.1333419,4.886876,5.188074,4.71378,4.953157,6.065588,5.875792,6.437392,5.661739,5.555013,6.535495,6.811992,6.261927,4.861841,6.113493,7.427347,6.246574,7.16345,7.617122,6.77467,7.310144,8.044565,6.906615,3.658011,3.477673,3.753941,3.370299,4.168978,4.918038,5.136896,3.406107,4.42832,5.422955,5.046057,3.366721,4.334938,5.3343,5.282088,4.785107,5.411664,5.465175,4.982754,2.723984,5.733088,7.282461,6.542943,6.80835,9.255334,9.160818,9.244157,8.481484,9.791364,10.308204,9.760704,9.07944,10.906951,4.337784,11.095598,10.999213,12.171494,11.622255,9.97913,11.44609,11.980323,12.833481,5.755796,4.744244,6.144525,5.398119,4.710573,6.793409,6.930186,6.505462,7.092514,7.031781,6.842219,7.140931,8.151694,6.777023,7.71281,7.246033,7.194162,8.471451,8.799557,7.10876
2.593323544/305.1564353,5.785196,5.875002,6.452575,5.170634,3.789631,4.155939,4.258249,4.091238,3.621235,4.301809,4.080299,4.872158,3.897311,4.305645,4.239061,4.70037,4.691466,4.692631,4.594578,4.408924,4.815452,4.490772,6.288162,5.89561,5.219798,3.92684,3.69678,3.960719,5.027627,4.624829,4.753737,3.835066,4.236491,4.867208,3.867781,4.393568,4.743612,5.304755,4.27436,4.900827,4.110562,3.859312,4.462326,6.525694,6.046186,6.037004,3.805212,3.993143,4.831271,3.970362,3.810256,4.129218,4.74006,4.060332,3.682772,5.943043,5.038888,3.938465,4.176486,4.924001,5.048992,4.644035,4.208556,5.025989,6.276444,5.194998,6.887705,5.178615,3.755352,3.834582,5.499572,4.423536,4.024099,5.245233,4.518083,3.513984,5.720246,4.469645,3.754152,4.837212,4.471599,4.115533,5.556607,4.487364
3.562551294/222.1104407,3.7775291,3.5239503,3.8611436,5.1358892,6.0516775,6.6801362,7.3139001,6.7526635,6.2698926,7.1988147,8.1089382,7.923831,7.1627315,7.3195128,8.4250054,7.954767,8.2077213,9.2759776,9.0358057,8.5655342,9.516884,9.1446089,1.3994359,1.3096537,2.5235937,1.4434279,1.4659811,1.379543,4.0839883,1.5675131,1.5179437,1.4346097,4.2744703,1.3299636,1.3891515,1.6854361,4.1491538,1.6497571,1.5502915,4.677792,1.4594586,0.9891407,4.6187516,4.8931941,5.5758367,5.1931016,6.4795081,5.612612,5.5330373,5.0483965,6.7855242,6.3086804,6.007457,5.3469899,6.9131742,1.7066038,6.411846,6.9884471,6.9533261,6.3184384,7.0565975,7.51157,6.8699725,6.5249516,5.5971156,4.4153693,5.2323818,4.6456408,4.5135229,6.387344,6.2084724,7.1608252,6.7881219,6.4078048,7.742864,6.8484779,8.123016,7.6163294,8.1553147,6.6973769,7.2986199,8.0850174,7.4214345,7.7524933
0.348759137/144.065195,6.197537,5.874257,7.695584,4.835941,6.080789,5.933531,8.04842,5.00546,5.467219,7.098515,7.510866,5.636837,5.255025,5.370343,8.29807,5.582946,6.434266,7.583304,4.739055,6.407901,7.847053,4.671558,6.444602,7.529317,5.496133,6.216674,6.129683,7.241797,5.285898,6.681389,6.218265,7.990144,4.171162,7.277878,4.588587,6.654303,4.363303,4.349396,6.14992,3.960741,5.922502,3.869099,4.114021,8.524751,8.219957,6.094714,6.505448,7.628871,5.391498,5.1322,6.617923,7.857082,5.456105,5.048541,5.715757,6.638297,6.587056,7.028355,11.283985,7.040708,5.296694,6.408342,4.609738,8.389869,6.333464,5.056767,6.123004,4.31512,5.677565,5.494927,6.727432,5.478985,5.073208,6.136939,5.163516,5.15433,7.964988,4.8111,2.818454,5.138072,4.298676,6.124246,6.37731,4.595165
